raceName,driverId,constructorId,number,grid,position,positionText,points,laps,time,millis,fastestlap,rank,fastestlaptime,fastestlapspeed,status
Australian Grand Prix,kovalainen,lotus_racing,20,19,18,R,0,19,,,19,20.0,1:34.918,201.129,Water leak
Australian Grand Prix,michael_schumacher,mercedes,7,11,19,R,0,19,,,13,21.0,1:35.319,200.283,Collision
Australian Grand Prix,maldonado,williams,12,15,20,R,0,9,,,7,18.0,1:34.102,202.873,Transmission
Australian Grand Prix,kobayashi,sauber,16,9,21,D,0,58,,,51,9.0,1:30.384,211.218,Disqualified
Australian Grand Prix,perez,sauber,17,13,22,D,0,58,,,39,6.0,1:29.962,212.209,Disqualified
Australian Grand Prix,liuzzi,hrt,23,0,23,F,0,0,,,,,,,Did not qualify
Australian Grand Prix,karthikeyan,hrt,22,0,24,F,0,0,,,,,,,Did not qualify
Malaysian Grand Prix,vettel,red_bull,1,1,1,1,25,56,1:37:39.832,5859832.0,33,6.0,1:41.539,196.523,Finished
Malaysian Grand Prix,button,mclaren,4,4,2,2,18,56,+3.261,5863093.0,50,4.0,1:41.264,197.057,Finished
Malaysian Grand Prix,heidfeld,renault,9,6,3,3,15,56,+25.075,5884907.0,47,7.0,1:41.547,196.508,Finished
Malaysian Grand Prix,webber,red_bull,2,3,4,4,12,56,+26.384,5886216.0,46,1.0,1:40.571,198.415,Finished
Malaysian Grand Prix,massa,ferrari,6,7,5,5,10,56,+36.958,5896790.0,41,9.0,1:41.999,195.637,Finished
Malaysian Grand Prix,alonso,ferrari,5,5,6,6,8,56,+37.248,5897080.0,49,2.0,1:40.717,198.127,Finished
Australian Grand Prix,button,mclaren,3,2,1,1,25,58,1:34:09.565,5649565.0,56,1.0,1:29.187,214.053,Finished
Australian Grand Prix,vettel,red_bull,1,6,2,2,18,58,+2.139,5651704.0,57,2.0,1:29.417,213.503,Finished
Australian Grand Prix,hamilton,mclaren,4,1,3,3,15,58,+4.075,5653640.0,57,4.0,1:29.538,213.214,Finished
Australian Grand Prix,webber,red_bull,2,5,4,4,12,58,+4.547,5654112.0,57,3.0,1:29.438,213.452,Finished
Australian Grand Prix,alonso,ferrari,5,12,5,5,10,58,+21.565,5671130.0,52,7.0,1:30.277,211.469,Finished
Australian Grand Prix,kobayashi,sauber,14,13,6,6,8,58,+36.766,5686331.0,55,10.0,1:30.620,210.668,Finished
Australian Grand Prix,raikkonen,lotus_f1,9,17,7,7,6,58,+38.014,5687579.0,50,11.0,1:30.759,210.346,Finished
Australian Grand Prix,perez,sauber,15,22,8,8,4,58,+39.458,5689023.0,46,12.0,1:30.843,210.151,Finished
Australian Grand Prix,ricciardo,toro_rosso,16,10,9,9,2,58,+39.556,5689121.0,53,8.0,1:30.592,210.733,Finished
Australian Grand Prix,resta,force_india,11,15,10,10,1,58,+39.737,5689302.0,57,9.0,1:30.605,210.703,Finished
Australian Grand Prix,vergne,toro_rosso,17,11,11,11,0,58,+39.848,5689413.0,52,6.0,1:30.274,211.476,Finished
Australian Grand Prix,rosberg,mercedes,8,7,12,12,0,58,+57.642,5707207.0,53,14.0,1:30.931,209.948,Finished
Australian Grand Prix,maldonado,williams,18,8,13,13,0,57,,,53,5.0,1:30.254,211.523,Accident
Australian Grand Prix,glock,marussia,24,20,14,14,0,57,,,43,19.0,1:34.253,202.548,+1 Lap
Australian Grand Prix,pic,marussia,25,21,15,15,0,53,,,45,20.0,1:35.011,200.932,+5 Laps
Australian Grand Prix,bruno_senna,williams,19,14,16,16,0,52,,,49,13.0,1:30.855,210.123,Collision
Australian Grand Prix,massa,ferrari,6,16,17,R,0,46,,,46,15.0,1:31.940,207.644,Collision
Australian Grand Prix,kovalainen,caterham,20,18,18,R,0,38,,,26,17.0,1:33.693,203.759,Suspension
Australian Grand Prix,petrov,caterham,21,19,19,R,0,34,,,27,16.0,1:33.214,204.806,Steering
Australian Grand Prix,michael_schumacher,mercedes,7,4,20,R,0,10,,,4,18.0,1:34.021,203.048,Gearbox
Australian Grand Prix,grosjean,lotus_f1,10,3,21,R,0,1,,,,,,,Collision
Australian Grand Prix,hulkenberg,force_india,12,9,22,R,0,0,,,,,,,Collision
Australian Grand Prix,rosa,hrt,22,0,23,F,0,0,,,,,,,Did not qualify
Australian Grand Prix,karthikeyan,hrt,23,0,24,F,0,0,,,,,,,Did not qualify
Malaysian Grand Prix,alonso,ferrari,5,8,1,1,25,56,2:44:51.812,9891812.0,53,7.0,1:41.680,196.25,Finished
Malaysian Grand Prix,perez,sauber,15,9,2,2,18,56,+2.263,9894075.0,54,3.0,1:41.021,197.531,Finished
Malaysian Grand Prix,hamilton,mclaren,4,1,3,3,15,56,+14.591,9906403.0,50,6.0,1:41.539,196.523,Finished
Malaysian Grand Prix,webber,red_bull,2,4,4,4,12,56,+17.688,9909500.0,52,2.0,1:41.017,197.539,Finished
Malaysian Grand Prix,raikkonen,lotus_f1,9,10,5,5,10,56,+29.456,9921268.0,53,1.0,1:40.722,198.117,Finished
Malaysian Grand Prix,bruno_senna,williams,19,13,6,6,8,56,+37.667,9929479.0,55,5.0,1:41.404,196.785,Finished
Australian Grand Prix,raikkonen,lotus_f1,7,7,1,1,25,58,1:30:03.225,5403225.0,56,1.0,1:29.274,213.845,Finished
Australian Grand Prix,alonso,ferrari,3,5,2,2,18,58,+12.451,5415676.0,53,3.0,1:29.560,213.162,Finished
Australian Grand Prix,vettel,red_bull,1,1,3,3,15,58,+22.346,5425571.0,42,10.0,1:30.409,211.16,Finished
Australian Grand Prix,massa,ferrari,4,4,4,4,12,58,+33.577,5436802.0,38,8.0,1:30.239,211.558,Finished
Australian Grand Prix,hamilton,mercedes,10,3,5,5,10,58,+45.561,5448786.0,45,5.0,1:29.759,212.689,Finished
Australian Grand Prix,webber,red_bull,2,2,6,6,8,58,+46.800,5450025.0,45,4.0,1:29.732,212.753,Finished
Australian Grand Prix,sutil,force_india,15,12,7,7,6,58,+1:05.068,5468293.0,49,13.0,1:30.710,210.459,Finished
Australian Grand Prix,resta,force_india,14,9,8,8,4,58,+1:08.449,5471674.0,56,15.0,1:30.894,210.033,Finished
Australian Grand Prix,button,mclaren,5,10,9,9,2,58,+1:21.630,5484855.0,41,7.0,1:30.198,211.654,Finished
Australian Grand Prix,grosjean,lotus_f1,8,8,10,10,1,58,+1:22.759,5485984.0,41,9.0,1:30.395,211.193,Finished
Australian Grand Prix,perez,mclaren,6,15,11,11,0,58,+1:23.367,5486592.0,46,6.0,1:29.926,212.294,Finished
Australian Grand Prix,vergne,toro_rosso,18,13,12,12,0,58,+1:23.857,5487082.0,50,2.0,1:29.498,213.309,Finished
Australian Grand Prix,gutierrez,sauber,12,18,13,13,0,57,,,32,16.0,1:31.415,208.836,+1 Lap
Australian Grand Prix,bottas,williams,17,16,14,14,0,57,,,42,12.0,1:30.652,210.594,+1 Lap
Australian Grand Prix,jules_bianchi,marussia,22,19,15,15,0,57,,,52,11.0,1:30.454,211.055,+1 Lap
Australian Grand Prix,pic,caterham,20,22,16,16,0,56,,,55,19.0,1:32.261,206.921,+2 Laps
Australian Grand Prix,chilton,marussia,23,20,17,17,0,56,,,49,17.0,1:32.210,207.036,+2 Laps
Australian Grand Prix,garde,caterham,21,21,18,18,0,56,,,39,20.0,1:32.636,206.084,+2 Laps
Australian Grand Prix,ricciardo,toro_rosso,19,14,19,R,0,39,,,33,14.0,1:30.881,210.063,Hydraulics
Australian Grand Prix,rosberg,mercedes,9,6,20,R,0,26,,,18,18.0,1:32.259,206.926,Electrical
Australian Grand Prix,maldonado,williams,16,17,21,R,0,24,,,12,21.0,1:32.915,205.465,Spun off
Australian Grand Prix,hulkenberg,sauber,11,11,22,W,0,0,,,,,,,Fuel system
Malaysian Grand Prix,vettel,red_bull,1,1,1,1,25,56,1:38:56.681,5936681.0,45,3.0,1:40.446,198.661,Finished
Malaysian Grand Prix,webber,red_bull,2,5,2,2,18,56,+4.298,5940979.0,45,6.0,1:40.685,198.19,Finished
Malaysian Grand Prix,hamilton,mercedes,10,4,3,3,15,56,+12.181,5948862.0,32,10.0,1:41.001,197.57,Finished
Malaysian Grand Prix,rosberg,mercedes,9,6,4,4,12,56,+12.640,5949321.0,44,8.0,1:40.755,198.052,Finished
Malaysian Grand Prix,massa,ferrari,4,2,5,5,10,56,+25.648,5962329.0,50,2.0,1:39.805,199.937,Finished
Malaysian Grand Prix,grosjean,lotus_f1,8,11,6,6,8,56,+35.564,5972245.0,37,11.0,1:41.226,197.131,Finished
Malaysian Grand Prix,raikkonen,lotus_f1,7,10,7,7,6,56,+48.479,5985160.0,37,13.0,1:41.769,196.079,Finished
Malaysian Grand Prix,hulkenberg,sauber,11,12,8,8,4,56,+53.044,5989725.0,46,7.0,1:40.727,198.107,Finished
Australian Grand Prix,rosberg,mercedes,6,3,1,1,25,57,1:32:58.710,5578710.0,19,1.0,1:32.478,206.436,Finished
Australian Grand Prix,kevin_magnussen,mclaren,20,4,2,2,18,57,+26.777,5605487.0,49,6.0,1:33.066,205.131,Finished
Australian Grand Prix,button,mclaren,22,10,3,3,15,57,+30.027,5608737.0,39,5.0,1:32.917,205.46,Finished
Australian Grand Prix,alonso,ferrari,14,5,4,4,12,57,+35.284,5613994.0,57,7.0,1:33.186,204.867,Finished
Australian Grand Prix,bottas,williams,77,15,5,5,10,57,+47.639,5626349.0,56,3.0,1:32.616,206.128,Finished
Australian Grand Prix,hulkenberg,force_india,27,7,6,6,8,57,+50.718,5629428.0,56,2.0,1:32.568,206.235,Finished
Australian Grand Prix,raikkonen,ferrari,7,11,7,7,6,57,+57.675,5636385.0,56,8.0,1:33.210,204.814,Finished
Australian Grand Prix,vergne,toro_rosso,25,6,8,8,4,57,+1:00.441,5639151.0,56,10.0,1:33.691,203.763,Finished
Australian Grand Prix,kvyat,toro_rosso,26,8,9,9,2,57,+1:03.585,5642295.0,35,11.0,1:33.864,203.387,Finished
Australian Grand Prix,perez,force_india,11,16,10,10,1,57,+1:25.916,5664626.0,38,4.0,1:32.634,206.088,Finished
Australian Grand Prix,sutil,sauber,99,13,11,11,0,56,,,34,9.0,1:33.366,204.472,+1 Lap
Australian Grand Prix,gutierrez,sauber,21,20,12,12,0,56,,,41,13.0,1:34.564,201.882,+1 Lap
Australian Grand Prix,chilton,marussia,4,17,13,13,0,55,,,33,12.0,1:34.202,202.658,+2 Laps
Australian Grand Prix,jules_bianchi,marussia,17,18,14,N,0,49,,,55,16.0,1:35.635,199.621,+8 Laps
Australian Grand Prix,grosjean,lotus_f1,8,22,15,R,0,43,,,41,15.0,1:35.281,200.363,ERS
Australian Grand Prix,maldonado,lotus_f1,13,21,16,R,0,29,,,30,14.0,1:34.766,201.451,ERS
Australian Grand Prix,ericsson,caterham,9,19,17,R,0,27,,,17,18.0,1:37.332,196.141,Oil pressure
Australian Grand Prix,vettel,red_bull,1,12,18,R,0,3,,,26,17.0,1:37.064,196.682,Engine
Australian Grand Prix,hamilton,mercedes,44,1,19,R,0,2,,,2,20.0,1:49.947,173.636,Engine
Australian Grand Prix,massa,williams,19,9,20,R,0,0,,,2,19.0,1:40.287,190.361,Collision
Australian Grand Prix,kobayashi,caterham,10,14,21,R,0,0,,,,,,,Collision
Australian Grand Prix,ricciardo,red_bull,3,2,22,D,0,57,+24.525,5603235.0,,,,,Disqualified
Malaysian Grand Prix,hamilton,mercedes,44,1,1,1,25,56,1:40:25.974,6025974.0,53,1.0,1:43.066,193.611,Finished
Malaysian Grand Prix,rosberg,mercedes,6,3,2,2,18,56,+17.313,6043287.0,55,2.0,1:43.960,191.946,Finished
Malaysian Grand Prix,vettel,red_bull,1,2,3,3,15,56,+24.534,6050508.0,51,4.0,1:44.289,191.341,Finished
Malaysian Grand Prix,alonso,ferrari,14,4,4,4,12,56,+35.992,6061966.0,47,3.0,1:44.165,191.569,Finished
Malaysian Grand Prix,hulkenberg,force_india,27,7,5,5,10,56,+47.199,6073173.0,38,10.0,1:45.982,188.284,Finished
Malaysian Grand Prix,button,mclaren,22,10,6,6,8,56,+1:23.691,6109665.0,47,11.0,1:46.039,188.183,Finished
Malaysian Grand Prix,massa,williams,19,13,7,7,6,56,+1:25.076,6111050.0,44,6.0,1:44.897,190.232,Finished
Malaysian Grand Prix,bottas,williams,77,18,8,8,4,56,+1:25.537,6111511.0,31,9.0,1:45.475,189.189,Finished
Australian Grand Prix,hamilton,mercedes,44,1,1,1,25,58,1:31:54.067,5514067.0,50,1.0,1:30.945,209.915,Finished
Australian Grand Prix,rosberg,mercedes,6,2,2,2,18,58,+1.360,5515427.0,47,2.0,1:31.092,209.577,Finished
Australian Grand Prix,vettel,ferrari,5,4,3,3,15,58,+34.523,5548590.0,52,4.0,1:31.457,208.74,Finished
Australian Grand Prix,massa,williams,19,3,4,4,12,58,+38.196,5552263.0,50,6.0,1:31.719,208.144,Finished
Australian Grand Prix,nasr,sauber,12,10,5,5,10,58,+1:35.149,5609216.0,46,9.0,1:32.612,206.137,Finished
Australian Grand Prix,ricciardo,red_bull,3,6,6,6,8,57,,,46,10.0,1:32.797,205.726,+1 Lap
Australian Grand Prix,hulkenberg,force_india,27,13,7,7,6,57,,,48,8.0,1:31.970,207.576,+1 Lap
Australian Grand Prix,ericsson,sauber,9,15,8,8,4,57,,,51,5.0,1:31.560,208.505,+1 Lap
Australian Grand Prix,sainz,toro_rosso,55,7,9,9,2,57,,,49,11.0,1:32.872,205.56,+1 Lap
Australian Grand Prix,perez,force_india,11,14,10,10,1,57,,,46,7.0,1:31.959,207.601,+1 Lap
Australian Grand Prix,button,mclaren,22,16,11,11,0,56,,,56,12.0,1:33.338,204.534,+2 Laps
Australian Grand Prix,raikkonen,ferrari,7,5,12,R,0,40,,,36,3.0,1:31.426,208.811,Wheel
Australian Grand Prix,max_verstappen,toro_rosso,33,11,13,R,0,32,,,30,13.0,1:34.295,202.458,Engine
Australian Grand Prix,grosjean,lotus_f1,8,8,14,R,0,0,,,,,,,Power loss
Australian Grand Prix,maldonado,lotus_f1,13,9,15,R,0,0,,,,,,,Accident
Australian Grand Prix,kvyat,red_bull,26,12,16,W,0,0,,,,,,,Withdrew
Australian Grand Prix,kevin_magnussen,mclaren,20,17,17,W,0,0,,,,,,,Withdrew
Australian Grand Prix,bottas,williams,77,0,18,W,0,0,,,,,,,Withdrew
Malaysian Grand Prix,vettel,ferrari,5,2,1,1,25,56,1:41:05.793,6065793.0,46,3.0,1:43.648,193.501,Finished
Malaysian Grand Prix,hamilton,mercedes,44,1,2,2,18,56,+8.569,6074362.0,45,2.0,1:43.125,193.501,Finished
Malaysian Grand Prix,rosberg,mercedes,6,3,3,3,15,56,+12.310,6078103.0,43,1.0,1:42.062,195.516,Finished
Malaysian Grand Prix,raikkonen,ferrari,7,11,4,4,12,56,+53.822,6119615.0,40,7.0,1:44.124,191.644,Finished
Malaysian Grand Prix,bottas,williams,77,8,5,5,10,56,+1:10.409,6136202.0,42,6.0,1:44.088,191.71,Finished
Malaysian Grand Prix,massa,williams,19,7,6,6,8,56,+1:13.586,6139379.0,40,5.0,1:43.990,191.891,Finished
Malaysian Grand Prix,max_verstappen,toro_rosso,33,6,7,7,6,56,+1:37.762,6163555.0,42,9.0,1:44.579,190.81,Finished
Malaysian Grand Prix,sainz,toro_rosso,55,15,8,8,4,55,,,37,15.0,1:45.507,189.132,+1 Lap
Malaysian Grand Prix,kvyat,red_bull,26,5,9,9,2,55,,,41,8.0,1:44.514,190.929,+1 Lap
Malaysian Grand Prix,ricciardo,red_bull,3,4,10,10,1,55,,,42,13.0,1:45.312,189.482,+1 Lap
Malaysian Grand Prix,grosjean,lotus_f1,8,10,11,11,0,55,,,36,10.0,1:44.812,190.386,+1 Lap
Malaysian Grand Prix,nasr,sauber,12,16,12,12,0,55,,,45,4.0,1:43.902,192.054,+1 Lap
Australian Grand Prix,rosberg,mercedes,6,2,1,1,25,57,1:48:15.565,6495565.0,21,3.0,1:30.557,210.815,Finished
Australian Grand Prix,hamilton,mercedes,44,1,2,2,18,57,+8.060,6503625.0,48,4.0,1:30.646,210.608,Finished
Australian Grand Prix,vettel,ferrari,5,3,3,3,15,57,+9.643,6505208.0,23,2.0,1:29.951,212.235,Finished
Australian Grand Prix,ricciardo,red_bull,3,8,4,4,12,57,+24.330,6519895.0,49,1.0,1:28.997,214.51,Finished
Australian Grand Prix,massa,williams,19,6,5,5,10,57,+58.979,6554544.0,39,9.0,1:32.288,206.861,Finished
Australian Grand Prix,grosjean,haas,8,19,6,6,8,57,+1:12.081,6567646.0,48,17.0,1:32.862,205.582,Finished
Australian Grand Prix,hulkenberg,force_india,27,10,7,7,6,57,+1:14.199,6569764.0,49,16.0,1:32.833,205.646,Finished
Australian Grand Prix,bottas,williams,77,16,8,8,4,57,+1:15.153,6570718.0,51,14.0,1:32.725,205.886,Finished
Australian Grand Prix,sainz,toro_rosso,55,7,9,9,2,57,+1:15.680,6571245.0,23,7.0,1:31.671,208.253,Finished
Australian Grand Prix,max_verstappen,toro_rosso,33,5,10,10,1,57,+1:16.833,6572398.0,44,6.0,1:31.516,208.606,Finished
Australian Grand Prix,jolyon_palmer,renault,30,13,11,11,0,57,+1:23.399,6578964.0,14,18.0,1:32.955,205.376,Finished
Australian Grand Prix,kevin_magnussen,renault,20,14,12,12,0,57,+1:25.606,6581171.0,45,10.0,1:32.452,206.494,Finished
Australian Grand Prix,perez,force_india,11,9,13,13,0,57,+1:31.699,6587264.0,39,15.0,1:32.780,205.764,Finished
Australian Grand Prix,button,mclaren,22,12,14,14,0,56,,,33,8.0,1:31.684,208.223,+1 Lap
Australian Grand Prix,nasr,sauber,12,17,15,15,0,56,,,48,13.0,1:32.711,205.917,+1 Lap
Australian Grand Prix,wehrlein,manor,94,21,16,16,0,56,,,34,12.0,1:32.673,206.001,+1 Lap
Australian Grand Prix,ericsson,sauber,9,15,17,R,0,38,,,15,21.0,1:33.892,203.327,Engine
Australian Grand Prix,raikkonen,ferrari,7,4,18,R,0,21,,,21,5.0,1:30.701,210.48,Engine
Australian Grand Prix,haryanto,manor,88,22,19,R,0,17,,,15,20.0,1:33.847,203.424,Mechanical
Australian Grand Prix,gutierrez,haas,21,20,20,R,0,16,,,4,19.0,1:32.998,205.281,Collision
Australian Grand Prix,alonso,mclaren,14,11,21,R,0,16,,,14,11.0,1:32.553,206.268,Collision
Australian Grand Prix,kvyat,red_bull,26,18,22,W,0,0,,,,,,,Retired
Bahrain Grand Prix,rosberg,mercedes,6,2,1,1,25,57,1:33:34.696,5614696.0,41,1.0,1:34.482,206.21,Finished
Bahrain Grand Prix,raikkonen,ferrari,7,4,2,2,18,57,+10.282,5624978.0,39,3.0,1:35.158,204.745,Finished
Bahrain Grand Prix,hamilton,mercedes,44,1,3,3,15,57,+30.148,5644844.0,43,2.0,1:34.677,205.785,Finished
Bahrain Grand Prix,ricciardo,red_bull,3,5,4,4,12,57,+1:02.494,5677190.0,44,9.0,1:36.064,202.814,Finished
Bahrain Grand Prix,grosjean,haas,8,9,5,5,10,57,+1:18.299,5692995.0,42,11.0,1:36.095,202.749,Finished
Bahrain Grand Prix,max_verstappen,toro_rosso,33,10,6,6,8,57,+1:20.929,5695625.0,49,7.0,1:35.504,204.004,Finished
Bahrain Grand Prix,kvyat,red_bull,26,15,7,7,6,56,,,36,8.0,1:35.678,203.633,+1 Lap
Bahrain Grand Prix,massa,williams,19,7,8,8,4,56,,,31,16.0,1:37.560,199.704,+1 Lap
Australian Grand Prix,vettel,ferrari,5,2,1,1,25,57,1:24:11.672,5051672.0,53,3.0,1:26.638,220.351,Finished
Australian Grand Prix,hamilton,mercedes,44,1,2,2,18,57,+9.975,5061647.0,44,6.0,1:27.033,219.351,Finished
Australian Grand Prix,bottas,mercedes,77,3,3,3,15,57,+11.250,5062922.0,56,2.0,1:26.593,220.465,Finished
Australian Grand Prix,raikkonen,ferrari,7,4,4,4,12,57,+22.393,5074065.0,56,1.0,1:26.538,220.605,Finished
Australian Grand Prix,max_verstappen,red_bull,33,5,5,5,10,57,+28.827,5080499.0,43,5.0,1:26.964,219.525,Finished
Australian Grand Prix,massa,williams,19,7,6,6,8,57,+1:23.386,5135058.0,49,9.0,1:28.045,216.83,Finished
Australian Grand Prix,perez,force_india,11,10,7,7,6,56,,,56,10.0,1:28.336,216.115,+1 Lap
Australian Grand Prix,sainz,toro_rosso,55,8,8,8,4,56,,,53,8.0,1:27.677,217.74,+1 Lap
Australian Grand Prix,kvyat,toro_rosso,26,9,9,9,2,56,,,51,4.0,1:26.711,220.165,+1 Lap
Australian Grand Prix,ocon,force_india,31,13,10,10,1,56,,,55,11.0,1:28.475,215.776,+1 Lap
Australian Grand Prix,hulkenberg,renault,27,11,11,11,0,56,,,55,12.0,1:28.486,215.749,+1 Lap
Australian Grand Prix,giovinazzi,sauber,36,16,12,12,0,55,,,51,13.0,1:29.052,214.378,+2 Laps
Australian Grand Prix,vandoorne,mclaren,2,18,13,13,0,55,,,53,15.0,1:29.440,213.448,+2 Laps
Australian Grand Prix,alonso,mclaren,14,12,14,R,0,50,,,48,17.0,1:30.077,211.938,Vibrations
Australian Grand Prix,kevin_magnussen,haas,20,17,15,R,0,46,,,46,7.0,1:27.568,218.011,Suspension
Australian Grand Prix,stroll,williams,18,20,16,R,0,40,,,38,14.0,1:29.389,213.569,Brakes
Australian Grand Prix,ricciardo,red_bull,3,0,17,R,0,25,,,21,16.0,1:29.447,213.431,Power Unit
Australian Grand Prix,ericsson,sauber,9,14,18,R,0,21,,,18,19.0,1:32.052,207.391,Hydraulics
Australian Grand Prix,jolyon_palmer,renault,30,19,19,R,0,15,,,6,20.0,1:32.195,207.069,Brakes
Australian Grand Prix,grosjean,haas,8,6,20,R,0,13,,,12,18.0,1:30.183,211.689,Water leak
Chinese Grand Prix,hamilton,mercedes,44,1,1,1,25,56,1:37:36.158,5856158.0,44,1.0,1:35.378,205.745,Finished
Chinese Grand Prix,vettel,ferrari,5,2,2,2,18,56,+6.250,5862408.0,40,2.0,1:35.423,205.648,Finished
